"","Date","dji_pctchg","snp_pctchg","vix_pctchg","libor_pctchg","exrate_pctchg","ffr_pctchg","ind_pctchg","pce_pctchg","unrate","m1_pctchg","m2_pctchg","t5_pctchg","t10_pctchg","div_pctchg","pe_ratio_pctchg","price_book_pctchg"
"3818",2008-06-27,0.000308464899971955,0.00126722492033972,0.0217576782526588,-0.00290909090909088,0,0,0,0,5.6,0.00407463006648068,-0.000581816301199835,-0.142857142857143,-0.0952380952380953,0.0093978168148631,-0.0109373467300066,0
"3819",2008-06-30,0.002841407246768,0.0038359640625,-0.0125261372640444,0.00157017458760468,-0.0012420094016286,-0.145748987854251,-0.00529245608661613,-0.000316584058013921,5.6,0.00569557169300869,0.00282021759660541,0.0138888888888889,0.0239234449760767,-0.000286471388670184,0.189669951332167,0.0572067954738867
"3820",2008-07-01,-0.0146499907248734,-0.0182036200053521,0.0959830866807612,0.00134529147982052,-0.00469813439139962,-0.0758293838862559,0,0,5.8,0.00569557169300869,0.00282021759660541,0.0205479452054795,0.014018691588785,-0.00282971559567297,0.00284038467264114,0.00283226998986347
"3821",2008-07-02,0.00651154290118785,0.00109392160102231,-0.0439814429012347,0,0,-0.0153846153846154,0,0,5.8,0.00569557169300869,0.00282021759660541,-0.0335570469798658,-0.00921658986175116,0.0148353029922052,-0.0146485998622426,-0.01465647947201
"3822",2008-07-03,-0.00501216966981775,-0.0083854341584842,0.0403551234723518,-0.00066995073891619,0,0,0,0,5.8,0.00569557169300869,0.00282021759660541,-1,0,-0.00644202180376618,0.00650818042122393,0.00651701665459807
"3823",2008-07-07,0.0135550696876278,0.0170803483101306,-0.102017102326722,-0.000447828034034842,0.0046787396361287,-0.0100502512562814,0,0,5.8,0.0063004389069801,0.00140614316859535,-0.0220588235294118,-0.014423076923077,Inf,Inf,Inf
"3824",2008-07-08,-0.0207980643198891,-0.0227761726592074,0.0898488120950325,0.000673835125447986,-0.00588960400247636,0.0101522842639594,0,0,5.8,0.0063004389069801,0.00140614316859535,-0.0300751879699248,-0.00975609756097562,-0.0115912232816985,0.0135569355188101,0.0135570752869581
"3825",2008-07-09,0.00731819124867926,0.00698975199639687,0.0142687277051129,-0.00134318093900873,-0.00124006609975008,0.0100502512562813,0,0,5.8,0.0063004389069801,0.00140614316859535,0.108527131782946,0.0640394088669952,0.0220197962989528,-0.0207965994027583,-0.0208067057040098
"3826",2008-07-10,-0.0114417373347073,-0.0110899439389582,0.0742477530285267,0.000896658333721866,-0.00538005256945931,-0.0199004975124377,0,0,5.8,0.0063004389069801,0.00140614316859535,0.153846153846154,0.0833333333333332,-0.00726366762579836,0.00731790127199307,0.0073156664541785
"3827",2008-07-11,-0.00408535159917177,-0.00902785911163356,0.0360130956711532,0,0,0,0,0,5.8,0.0063004389069801,0.00140614316859535,0.0181818181818182,0.0170940170940171,0.011558446148952,-0.0114418128742966,0
