dji_pctchg,snp_pctchg,vix_pctchg,libor_pctchg,exrate_pctchg,ffr_pctchg,ind_pctchg,pce_pctchg,unrate,m1_pctchg,m2_pctchg,t5_pctchg,t10_pctchg,div_pctchg,pe_ratio_pctchg,price_book_pctchg
0.003931383,0.00682034,-0.01055409,0,0.011541688,0.020134228,0,0,6.9,0.001656696,0.000377654,-0.019230769,-0.010909091,0.002485033,-0.003363532,-0.003347218
-0.00783478,-0.004686356,0.042666667,0,-0.001674825,0.009868421,0,0,6.9,0.001656696,0.000377654,0.009803922,0.003676471,-0.003906103,0.003928143,0.003955519
0.006080012,0.004507596,-0.022165388,0,0,0,0,0,6.9,0.001656696,0.000377654,-0.014563107,-0.018315018,0.007880547,-0.007836567,0
7.86E-05,-0.001954915,0.001743679,0,-0.002430466,-0.061349693,0,0,6.8,0.003767344,0.00092926,0.004926108,0,-0.003404415,-0.004349154,0.003971227
-0.002588956,-0.001624814,0.019147084,0,-0.000211917,0.026143791,0,0,6.8,0.003767344,0.00092926,0.004901961,0.014925373,-0.002702804,7.81E-05,7.46E-05
-0.000867127,-0.000914086,0.027327071,0,0.001483365,-0.02866242,0,0,6.8,0.003767344,0.00092926,0.004878049,0.007352941,0.002597207,-0.002588332,-0.002537313
0.003229095,0.001227296,0.024937656,-0.018867925,-0.004020292,-0.029508197,0,0,6.8,0.003767344,0.00092926,-0.004854369,0.003649635,0.004129749,-0.000866881,-0.0008978
0.004395578,0.004546688,0.00486618,0,0,0,0,0,6.8,0.003767344,0.00092926,-0.019512195,-0.014545455,-0.018956106,0.003229833,0
-0.000936807,-0.002817689,-0.00645682,0,0.008794258,-0.026315789,0,0,6.8,0.002746247,0.000203087,0.014925373,0.003690037,0.01387248,0.004391153,0.004403971
0.00297255,0.002247144,-0.019496344,0,0.000210104,-0.013513514,0,0,6.8,0.002746247,0.000203087,0,-0.022058824,-0.017103334,-0.000933276,-0.000966112
-0.003979519,-0.003329929,0.025683513,0,0.000419973,0.017123288,0,0,6.8,0.002746247,0.000203087,0.004901961,0.011278195,0.00049717,0.002969257,0.002975526
0.000156851,0.00262835,-0.015347334,0,-0.001469508,0.01010101,0,0,6.8,0.002746247,0.000203087,-0.029268293,-0.022304833,0.000917396,-0.003975008,-0.003930876
0.002661325,0.004976207,-0.014766202,0,0,0,0,0,6.8,0.002746247,0.000203087,-0.020100503,-0.019011407,0.010464006,0.00015585,0
0.002187692,0.001657898,-0.034970858,0,0.000425814,-0.071856287,0,0,6.8,-0.00209969,-0.001044235,0.020512821,0.015503876,0.005026645,0.002660167,0.002680167
0.00498473,0.006422007,-0.006039689,0,-0.006384401,-0.025806452,0,0,6.8,-0.00209969,-0.001044235,0,0.007633588,-0.029708183,0.002186872,0.002153252
0.00201666,0.000855153,0.009548611,0,0.007924674,0,0,0,6.8,-0.00209969,-0.001044235,-0.035175879,-0.018939394,-0.004960856,0.004984493,0.004964066
